date,close,high,low,open,rsi_sig,cci_sig,donchian_sig,return_sig
2023-12-21,472.7,472.975,468.84,471.33,0,0,0,-1
2023-12-20,468.26,475.895,467.82,473.96,0,0,0,-1
2023-12-19,474.84,474.92,472.45,472.53,0,0,0,-1
2023-12-18,471.97,472.98,469.8929,470.98,0,0,0,-1
2023-12-15,469.33,470.7,467.4263,469.49,0,1,0,-1
2023-12-14,472.01,473.73,469.25,472.5,0,0,0,-1
2023-12-13,470.5,470.7599,464.12,464.49,0,1,0,-1
2023-12-12,464.1,464.2,460.6,461.63,0,1,0,-1
2023-12-11,461.99,462.17,459.47,459.69,0,1,0,-1
2023-12-08,460.2,460.745,457.21,457.46,1,1,0,-1
2023-12-07,458.23,458.9,456.29,456.91,1,1,0,-1
2023-12-06,454.76,458.84,454.31,458.81,1,1,0,-1
2023-12-05,456.6,457.59,454.87,455.26,1,1,0,-1
2023-12-04,456.69,459.1206,454.34,455.6,1,1,0,-1
2023-12-01,459.1,459.65,455.16,455.77,0,0,0,-1
2023-11-30,456.4,456.76,453.34,455.48,0,0,0,-1
2023-11-29,454.61,458.32,454.2,457.15,1,0,0,-1
2023-11-28,454.93,456.27,453.5,454.08,1,0,0,-1
2023-11-27,454.48,455.4901,454.0799,454.65,1,0,0,-1
2023-11-24,455.3,455.5,454.73,455.07,1,0,0,-1
2023-11-22,455.02,456.38,453.8895,454.98,1,0,0,-1
2023-11-21,453.27,454.131,451.9599,453.1842,1,0,0,-1
2023-11-20,454.26,455.125,450.52,450.53,0,0,0,-1
2023-11-17,450.79,451.42,449.29,450.24,1,1,0,-1
2023-11-16,450.23,450.56,448.12,449.22,0,1,0,-1
2023-11-15,449.68,451.38,448.8,450.11,0,1,0,-1
2023-11-14,448.73,450.06,446.09,446.32,1,1,0,-1
2023-11-13,440.19,441.33,438.42,439.23,1,1,0,-1
2023-11-10,440.61,440.93,433.8335,435.98,1,1,0,-1
2023-11-09,433.84,438.47,433.4,438.43,1,1,0,-1
2023-11-08,437.25,438.09,434.87,437.55,1,1,0,-1
2023-11-07,436.93,437.585,434.51,435.69,1,1,0,-1
2023-11-06,435.69,436.1498,433.68,435.47,1,1,0,-1
2023-11-03,434.69,436.29,433.01,433.14,1,1,0,-1
2023-11-02,430.76,430.915,426.56,426.58,1,1,0,-1
2023-11-01,422.66,423.5,418.6499,419.2,1,1,0,-1
2023-10-31,418.2,418.53,414.21,416.18,1,1,0,-1
2023-10-30,415.59,416.68,412.22,413.56,1,1,0,-1
2023-10-27,410.68,414.6,409.21,414.19,1,1,0,-1
2023-10-26,412.55,417.325,411.6,416.45,1,1,0,-1
2023-10-25,417.55,421.92,417.015,421.89,1,0,0,-1
2023-10-24,423.63,424.82,420.74,422.65,0,0,0,-1
2023-10-23,420.46,424.45,417.8,419.61,0,0,0,-1
2023-10-20,421.19,426.54,421.08,425.98,0,0,0,-1
2023-10-19,426.43,432.82,425.725,430.95,0,0,0,-1
2023-10-18,430.21,435.18,429.09,434.19,0,0,0,-1
2023-10-17,436.02,438.14,432.45,432.81,0,0,0,-1
2023-10-16,436.04,437.14,433.57,433.82,0,0,0,-1
2023-10-13,431.5,436.45,429.88,435.21,0,0,0,-1
2023-10-12,433.66,437.335,431.23,436.95,0,0,0,-1
2023-10-11,436.32,436.58,433.18,435.64,0,0,0,1
2023-10-10,434.54,437.22,432.53,432.94,0,0,0,-1
2023-10-09,432.29,432.88,427.0101,427.58,-1,0,0,-1
2023-10-06,429.54,431.125,420.6,421.97,0,0,0,-1
2023-10-05,424.5,425.37,421.1701,424.36,0,0,0,-1
2023-10-04,424.66,425.4299,420.56,422.07,0,0,0,-1
2023-10-03,421.59,427.3729,420.18,425.06,0,0,0,-1
2023-10-02,427.31,428.6,424.46,426.62,0,0,0,1
2023-09-29,427.48,431.85,425.91,431.67,0,0,0,1
2023-09-28,428.52,430.2499,424.87,425.48,0,0,0,1
2023-09-27,426.05,427.67,422.29,427.09,0,0,0,1
2023-09-26,425.88,429.82,425.02,429.09,0,0,0,1
2023-09-25,432.23,432.27,428.72,429.17,0,0,0,1
2023-09-22,430.42,434.1,429.99,432.45,0,0,0,1
2023-09-21,431.39,435.97,431.23,435.7,0,0,0,1
2023-09-20,438.64,444.435,438.43,444.01,0,-1,0,1
2023-09-19,442.71,443.29,439.94,442.68,0,-1,0,1
2023-09-18,443.63,444.97,442.56,443.05,0,-1,0,1
2023-09-15,443.37,447.48,442.92,447.14,-1,-1,0,1
2023-09-14,450.36,451.08,447.715,449.07,-1,-1,0,1
2023-09-13,446.51,447.71,445.0793,446.22,-1,-1,0,1
2023-09-12,445.99,448.53,445.39,446.95,-1,-1,0,1
2023-09-11,448.45,448.77,446.4699,448.24,-1,-1,0,1
2023-09-08,445.52,447.11,444.53,444.9,-1,0,0,1
2023-09-07,444.85,445.55,442.75,443.11,-1,0,0,1
2023-09-06,446.22,448.51,443.81,448.4,-1,0,0,1
2023-09-05,449.24,451.06,449.17,450.73,-1,0,0,1
2023-09-01,451.19,453.67,449.68,453.17,-1,0,0,1
2023-08-31,450.35,452.83,450.16,451.65,-1,0,0,1
2023-08-30,451.01,451.67,448.78,449.51,-1,0,0,1
2023-08-29,449.16,449.45,442.46,442.65,0,0,0,1
2023-08-28,442.76,443.4,439.9728,442.24,0,0,0,1
2023-08-25,439.97,441.3,435.0,438.68,0,0,0,1
2023-08-24,436.89,445.22,436.855,444.69,1,0,0,1
2023-08-23,443.03,443.67,439.1,439.25,0,0,0,1
2023-08-22,438.15,441.18,437.57,441.18,0,1,0,1
2023-08-21,439.34,440.11,435.32,437.55,0,1,0,1
2023-08-18,436.5,437.57,433.01,433.37,0,1,0,-1
2023-08-17,436.29,441.43,435.75,441.16,0,1,0,-1
2023-08-16,439.64,444.18,439.53,442.46,0,0,0,-1
2023-08-15,442.89,446.64,442.3,446.27,0,0,0,-1
2023-08-14,448.11,448.11,444.38,444.7,0,0,1,1
2023-08-11,445.65,446.7007,443.345,443.97,0,0,0,-1
2023-08-10,445.91,451.7,444.7,448.19,0,0,0,-1
2023-08-09,445.75,449.1999,444.96,449.03,0,0,0,1
2023-08-08,448.75,450.6952,445.2705,448.08,0,0,0,1
2023-08-07,450.71,450.865,447.99,448.71,0,0,0,1
2023-08-04,446.81,452.895,446.27,450.72,0,0,0,-1
2023-08-03,448.84,450.79,447.37,448.04,0,0,0,-1
2023-08-02,450.13,453.52,449.3499,453.25,0,-1,0,-1
2023-08-01,456.48,457.25,455.49,456.27,-1,-1,0,1
2023-07-31,457.79,458.16,456.045,457.41,-1,-1,0,1
2023-07-28,456.92,457.78,452.4918,455.88,-1,-1,0,1
2023-07-27,452.49,459.44,451.55,459.02,0,-1,0,1
2023-07-26,455.51,456.99,453.38,454.47,0,-1,0,1
2023-07-25,455.44,456.735,453.87,453.92,0,0,0,1
2023-07-24,454.2,455.04,452.298,453.37,0,0,0,1
2023-07-21,452.18,454.165,452.17,453.96,0,0,0,1
2023-07-20,452.18,455.1,451.44,454.17,0,0,0,1
2023-07-19,455.2,456.43,454.1119,455.01,0,0,0,1
2023-07-18,454.19,454.86,450.0484,450.5,0,0,0,1
2023-07-17,450.84,451.93,449.08,449.13,0,0,0,1
2023-07-14,449.28,451.36,448.49,450.475,0,0,0,1
2023-07-13,449.56,450.38,447.45,447.9,0,0,0,1
2023-07-12,446.02,447.4799,444.91,446.39,1,1,0,1
2023-07-11,442.46,442.97,439.44,440.45,1,1,0,-1
2023-07-10,439.66,439.84,437.585,438.18,1,1,0,-1
2023-07-07,438.55,442.64,438.3,438.63,1,1,0,-1
2023-07-06,439.66,440.1,437.06,439.42,1,1,0,-1
2023-07-05,443.13,443.889,441.9,441.91,1,0,0,-1
2023-07-03,443.79,444.08,442.63,442.92,0,0,0,-1
2023-06-30,443.28,444.3,441.11,441.44,0,0,0,-1
2023-06-29,438.11,438.28,435.54,435.96,1,1,0,-1
2023-06-28,436.39,437.44,434.41,435.05,1,1,0,-1
2023-06-27,436.17,436.81,431.88,432.35,1,1,0,-1
2023-06-26,431.44,434.61,431.19,432.62,1,1,0,-1
2023-06-23,433.21,435.06,432.47,432.93,1,1,0,-1
2023-06-22,436.51,436.62,433.6,433.95,0,0,0,-1
2023-06-21,434.94,436.99,434.33,436.16,0,0,0,-1
2023-06-20,437.18,438.37,435.03,437.45,0,0,0,-1
2023-06-16,439.46,443.6078,438.97,443.02,0,0,0,-1
2023-06-15,442.6,443.9,436.23,436.33,0,0,0,-1
2023-06-14,437.18,439.0612,433.59,437.01,0,0,0,-1
2023-06-13,436.66,437.33,434.63,435.32,0,0,0,-1
2023-06-12,433.8,433.88,430.17,430.92,0,1,0,-1
2023-06-09,429.9,431.99,428.87,429.96,0,1,0,-1
2023-06-08,429.13,429.6,425.82,426.62,0,1,0,-1
2023-06-07,426.55,429.62,426.11,428.44,0,1,0,-1
2023-06-06,428.03,428.5772,425.99,426.67,0,1,0,-1
2023-06-05,427.1,429.62,426.37,428.28,0,1,0,-1
2023-06-02,427.92,428.74,423.95,424.5,0,1,0,-1
2023-06-01,421.82,422.92,416.79,418.09,1,1,0,-1
2023-05-31,417.85,419.22,416.22,418.28,1,1,0,-1
2023-05-30,420.18,422.58,418.735,422.03,1,1,0,-1
2023-05-26,420.02,420.77,415.25,415.33,1,1,0,-1
2023-05-25,414.65,416.16,412.4101,414.74,1,1,0,-1
2023-05-24,411.09,412.82,409.8795,412.42,1,1,0,-1
2023-05-23,414.09,418.722,413.68,417.08,1,1,0,-1
2023-05-22,418.79,420.39,417.35,418.64,0,0,0,-1
2023-05-19,418.62,420.72,417.35,420.17,0,0,0,-1
2023-05-18,419.23,419.67,414.67,414.9,0,0,0,-1
2023-05-17,415.23,415.855,410.635,412.35,0,0,0,-1
2023-05-16,410.25,412.815,410.24,411.86,1,1,0,-1
2023-05-15,413.01,413.43,410.23,412.22,0,0,0,-1
2023-05-12,411.59,413.64,409.07,413.42,0,1,0,-1
2023-05-11,412.13,412.43,409.97,411.95,0,0,0,-1
2023-05-10,412.85,414.535,408.87,413.88,0,0,0,-1
2023-05-09,410.93,412.09,410.6894,411.13,0,0,0,-1
2023-05-08,412.74,413.24,411.28,412.97,0,0,0,-1
2023-05-05,412.63,413.72,408.64,408.91,0,0,0,-1
2023-05-04,405.13,407.27,403.74,406.93,0,1,0,-1
2023-05-03,408.02,413.87,407.77,411.36,0,0,0,-1
2023-05-02,410.84,414.82,407.82,414.77,0,0,0,-1
2023-05-01,415.51,417.62,415.265,415.47,0,0,0,-1
2023-04-28,415.93,415.94,411.43,411.49,0,0,0,-1
2023-04-27,412.41,412.69,406.74,407.0,0,0,0,-1
2023-04-26,404.36,407.84,403.78,406.72,0,1,0,-1
2023-04-25,406.08,411.16,406.02,410.58,0,1,0,-1
2023-04-24,412.63,413.07,410.6,411.99,0,0,0,-1
2023-04-21,412.2,412.68,410.17,412.19,0,0,0,-1
2023-04-20,411.88,413.7,410.27,411.21,0,0,0,-1
2023-04-19,414.14,415.08,412.16,412.22,0,-1,0,-1
2023-04-18,414.21,415.72,412.7802,415.58,0,-1,0,-1
2023-04-17,413.94,413.96,411.085,412.37,0,0,0,1
2023-04-14,412.46,415.09,410.06,412.81,0,0,0,-1
2023-04-13,413.47,413.84,407.9922,409.18,0,0,0,1
2023-04-12,408.05,412.17,407.44,411.87,0,0,0,-1
2023-04-11,409.72,411.18,408.92,410.26,0,0,0,-1
2023-04-10,409.61,409.69,405.97,406.61,0,0,0,-1
2023-04-06,409.19,409.48,405.678,406.77,0,0,0,-1
2023-04-05,407.6,408.7,405.88,407.91,0,1,0,-1
2023-04-04,408.67,411.92,407.24,411.62,0,0,0,1
2023-04-03,410.95,411.37,408.44,408.85,0,0,0,1
2023-03-31,409.39,409.7,404.55,404.66,0,0,0,-1
2023-03-30,403.7,404.35,401.76,404.09,0,1,0,-1
2023-03-29,401.35,401.6,398.68,399.925,1,1,0,-1
2023-03-28,395.6,396.49,393.69,395.77,1,1,0,-1
2023-03-27,396.49,398.92,395.56,398.12,1,1,0,-1
2023-03-24,395.75,395.84,389.4,391.841,1,1,0,-1
2023-03-23,393.17,399.29,390.35,395.09,1,1,0,-1
2023-03-22,392.11,402.49,392.07,398.73,1,1,0,-1
2023-03-21,398.91,399.41,395.58,397.24,0,0,0,-1
2023-03-20,393.74,394.17,390.07,390.8,1,1,0,-1
2023-03-17,389.99,394.4,388.55,393.22,1,1,0,-1
2023-03-16,396.11,396.47,386.29,386.82,0,0,0,-1
2023-03-15,389.28,389.49,383.71,385.89,0,1,0,-1
2023-03-14,391.73,393.45,387.05,390.5,0,0,0,-1
2023-03-13,385.36,390.39,380.65,381.81,1,1,0,-1
2023-03-10,385.91,393.16,384.32,390.99,0,0,0,-1
2023-03-09,391.56,401.48,390.53,399.74,0,0,0,-1
2023-03-08,398.92,399.71,396.59,398.39,0,0,0,-1
2023-03-07,398.27,404.67,397.625,404.42,0,0,0,-1
2023-03-06,404.47,407.45,404.01,405.05,0,-1,0,-1
2023-03-03,404.19,404.45,399.03,399.71,0,-1,0,-1
2023-03-02,397.81,398.69,392.33,392.68,0,0,0,-1
2023-03-01,394.74,396.69,393.38,395.41,0,0,0,-1
2023-02-28,396.26,399.28,396.15,397.23,0,0,0,-1
2023-02-27,397.73,401.29,396.75,399.87,0,0,0,1
2023-02-24,396.38,397.25,393.64,395.42,0,0,0,-1
2023-02-23,400.66,402.2,396.25,401.56,0,0,0,1
2023-02-22,398.54,401.13,397.02,399.52,0,0,0,1
2023-02-21,399.09,404.16,398.82,403.06,0,0,0,1
2023-02-17,407.26,407.51,404.05,406.06,-1,-1,0,1
2023-02-16,408.28,412.91,408.14,408.79,0,-1,0,1
2023-02-15,413.98,414.06,409.47,410.35,0,-1,0,1
2023-02-14,412.64,415.05,408.511,411.24,0,-1,0,1
2023-02-13,412.83,412.97,408.24,408.72,0,-1,0,1
2023-02-10,408.04,408.44,405.01,405.86,0,0,0,1
2023-02-09,407.09,414.57,405.81,414.41,0,0,0,1
2023-02-08,410.65,414.53,409.93,413.13,-1,-1,0,1
2023-02-07,415.19,416.49,407.57,408.87,-1,-1,0,1
2023-02-06,409.83,411.29,408.1,409.79,0,0,0,1
2023-02-03,412.35,416.97,411.09,411.59,0,0,0,1
2023-02-02,416.78,418.31,412.88,414.86,0,-1,0,1
2023-02-01,410.8,413.67,402.35,405.211,0,0,0,1
2023-01-31,406.48,406.53,400.77,401.13,0,0,0,1
2023-01-30,400.59,405.13,400.28,402.8,0,0,0,1
2023-01-27,405.68,408.16,403.44,403.655,0,0,0,1
2023-01-26,404.75,404.92,400.03,403.13,0,0,0,1
2023-01-25,400.35,400.7,393.56,395.95,0,1,0,1
2023-01-24,400.2,401.15,397.64,398.88,0,1,0,-1
2023-01-23,400.63,402.645,395.72,396.72,0,1,0,1
2023-01-20,395.88,396.04,388.38,390.1,0,1,0,-1
2023-01-19,388.64,391.08,387.26,389.36,0,1,0,-1
2023-01-18,391.49,400.12,391.28,399.01,1,1,0,-1
2023-01-17,397.77,400.23,397.06,398.48,0,0,0,-1
2023-01-13,398.5,399.1,393.34,393.62,0,0,0,-1
2023-01-12,396.96,398.485,392.42,396.67,0,0,0,-1
2023-01-11,395.52,395.6,391.38,392.23,0,0,0,-1
2023-01-10,390.58,390.65,386.27,387.25,0,1,0,-1
2023-01-09,387.86,393.7,387.67,390.37,0,1,0,-1
2023-01-06,388.08,389.25,379.4127,382.61,1,1,0,-1
2023-01-05,379.38,381.84,378.76,381.72,1,1,0,-1
2023-01-04,383.76,385.88,380.0,383.18,0,1,0,-1
2023-01-03,380.82,386.43,377.831,384.37,0,1,0,-1
2022-12-30,382.43,382.58,378.43,380.64,0,1,0,-1
2022-12-29,383.44,384.35,379.08,379.63,0,0,0,-1
2022-12-28,376.66,383.39,376.42,381.33,0,1,0,-1
2022-12-27,381.4,383.15,379.65,382.79,0,0,0,-1
2022-12-23,382.91,383.06,378.03,379.65,0,0,0,-1
2022-12-22,380.72,386.2134,374.77,383.05,0,0,0,-1
2022-12-21,386.23,387.41,382.69,383.25,0,0,0,-1
2022-12-20,380.54,382.23,377.85,379.23,0,0,0,-1
2022-12-19,380.02,383.82,378.28,383.47,0,0,0,-1
2022-12-16,383.27,386.575,381.04,385.18,0,0,0,-1
2022-12-15,389.63,395.25,387.885,394.3,0,0,0,-1
2022-12-14,399.4,405.5,396.31,401.61,0,-1,0,1
2022-12-13,401.97,410.49,399.07,410.22,0,-1,0,1
2022-12-12,398.95,398.95,393.412,394.11,0,-1,0,1
2022-12-09,393.28,397.62,393.15,394.94,0,0,0,-1
2022-12-08,396.24,397.36,393.2684,395.14,0,0,0,1
2022-12-07,393.16,395.64,391.97,392.94,0,0,0,1
2022-12-06,393.83,399.99,391.64,399.42,0,0,0,1
2022-12-05,399.59,404.93,398.17,403.95,0,-1,0,1
2022-12-02,406.91,407.86,402.14,402.25,-1,-1,0,1
2022-12-01,407.38,410.0,404.75,408.77,0,-1,0,1
2022-11-30,407.68,407.68,393.48,395.49,-1,0,0,1
2022-11-29,395.23,397.3,393.3,396.05,0,0,0,1
2022-11-28,395.91,400.81,395.11,399.09,0,0,0,1
2022-11-25,402.33,402.91,401.535,401.83,0,0,0,1
2022-11-23,402.42,402.93,399.31,399.55,0,0,0,1
2022-11-22,399.9,400.07,395.1527,396.63,0,0,0,1
2022-11-21,394.59,395.82,392.66,394.64,0,0,0,1
2022-11-18,396.03,397.81,393.04,397.74,0,0,0,1
2022-11-17,394.24,394.95,390.14,390.46,0,0,0,1
2022-11-16,395.45,397.78,394.79,396.78,0,0,0,1
2022-11-15,398.49,402.31,394.49,401.15,0,0,0,1
2022-11-14,395.12,400.1799,394.83,396.66,0,0,0,-1
2022-11-11,398.51,399.35,393.61,395.59,0,0,0,-1
2022-11-10,394.69,395.04,385.642,388.05,0,1,0,-1
2022-11-09,374.13,381.14,373.61,379.93,1,1,0,-1
2022-11-08,382.0,385.12,377.72,381.11,0,1,0,-1
2022-11-07,379.95,380.57,375.53,377.71,0,1,0,-1
2022-11-04,376.35,378.87,370.0,377.0,1,1,0,-1
2022-11-03,371.01,374.2,368.79,371.465,1,1,0,-1
2022-11-02,374.87,388.63,374.76,383.9,0,0,0,-1
2022-11-01,384.52,390.39,383.29,390.14,0,0,0,-1
2022-10-31,386.21,388.4,385.26,386.44,0,0,0,-1
2022-10-28,389.02,389.52,379.68,379.87,0,0,0,-1
2022-10-27,379.98,385.0,379.33,383.07,0,0,0,-1
2022-10-26,382.02,387.58,381.35,381.62,0,0,0,-1
2022-10-25,384.92,385.25,378.671,378.79,0,0,0,-1
2022-10-24,378.87,380.06,373.11,375.89,0,0,0,-1
2022-10-21,374.29,374.8,363.54,365.12,0,1,0,-1
2022-10-20,365.41,372.67,364.61,368.03,0,1,0,-1
2022-10-19,368.5,371.85,365.55,368.99,0,1,0,-1
2022-10-18,371.13,375.45,367.52,375.13,0,0,0,-1
2022-10-17,366.82,367.9799,357.2808,364.01,0,1,0,-1
2022-10-14,357.63,370.26,356.96,368.55,0,1,0,-1
2022-10-13,365.97,367.51,348.11,349.205,0,1,0,-1
2022-10-12,356.56,359.8179,356.3,358.17,0,1,0,-1
2022-10-11,357.74,363.03,355.71,358.235,0,1,0,-1
2022-10-10,360.02,364.21,357.67,363.96,0,0,0,-1
2022-10-07,362.79,373.2933,360.94,368.97,0,0,0,-1
2022-10-06,373.2,378.72,372.68,375.62,0,0,0,-1
2022-10-05,377.09,379.46,370.95,373.39,0,0,0,1
2022-10-04,377.97,378.0,366.5677,372.4,0,0,0,1
2022-10-03,366.61,368.55,359.21,361.08,0,0,0,-1
2022-09-30,357.18,365.91,357.04,361.8,0,0,0,-1
2022-09-29,362.79,367.11,359.7,366.81,0,0,0,-1
2022-09-28,370.53,372.3,362.6,364.38,0,0,0,-1
2022-09-27,363.38,370.4,360.87,368.02,0,0,0,-1
2022-09-26,364.31,370.21,363.0299,366.41,0,0,0,-1
2022-09-23,367.95,370.62,363.29,370.58,0,0,0,-1
2022-09-22,374.22,377.66,373.44,376.58,0,-1,0,-1
2022-09-21,377.39,389.31,377.38,386.11,0,-1,0,1
2022-09-20,384.09,386.12,381.195,385.06,0,-1,0,1
2022-09-19,388.55,388.55,382.1784,382.26,0,-1,0,1
2022-09-16,385.56,386.25,382.11,384.14,0,-1,0,1
2022-09-15,390.12,395.96,388.78,392.96,0,-1,0,1
2022-09-14,394.6,396.2,391.12,394.47,0,-1,0,1
2022-09-13,393.1,403.1,391.92,401.83,0,-1,0,1
2022-09-12,410.97,411.73,408.46,408.78,-1,-1,0,1
2022-09-09,406.6,407.51,402.46,402.74,-1,-1,0,1
2022-09-08,400.38,400.86,394.12,395.39,-1,0,0,1
2022-09-07,397.78,398.59,390.2,390.43,-1,0,0,1
2022-09-06,390.76,394.12,388.42,393.13,0,0,0,1
2022-09-02,392.24,401.555,390.33,400.28,0,0,0,1
2022-09-01,396.42,396.78,390.04,392.89,0,0,0,1
2022-08-31,395.18,401.24,395.04,399.93,0,0,0,1
2022-08-30,398.21,404.1,396.0,403.85,0,0,0,1
2022-08-29,402.63,405.84,401.1999,402.2,0,0,0,1
2022-08-26,405.31,419.96,405.25,419.39,0,-1,0,1
2022-08-25,419.51,419.56,414.09,415.24,0,-1,0,1
2022-08-24,413.67,415.1101,411.39,412.11,0,-1,0,1
2022-08-23,412.35,415.42,411.77,412.9,0,-1,0,1
2022-08-22,413.35,417.23,412.4,417.05,0,-1,0,1
2022-08-19,422.14,425.26,421.22,424.98,0,-1,0,1
2022-08-18,427.89,428.61,425.5,426.86,-1,-1,0,1
2022-08-17,426.65,429.5,424.54,425.91,-1,-1,0,1
2022-08-16,429.7,431.73,426.88,427.73,-1,-1,0,1
2022-08-15,428.86,429.41,424.71,424.765,-1,-1,0,1
2022-08-12,427.1,427.21,421.03,422.03,-1,0,0,1
2022-08-11,419.99,424.95,419.21,422.99,-1,0,0,1
2022-08-10,419.99,420.14,416.72,418.78,0,0,0,1
2022-08-09,411.35,412.75,410.22,412.22,0,0,0,1
2022-08-08,412.99,417.62,411.83,415.25,0,0,0,1
2022-08-05,413.47,414.15,409.6,409.66,0,0,0,1
2022-08-04,414.17,415.09,412.44,414.37,0,0,0,1
2022-08-03,414.45,415.68,410.0,410.3,0,0,0,1
2022-08-02,408.06,413.0,406.82,409.12,0,0,0,1
2022-08-01,410.77,413.41,408.4,409.15,0,0,0,1
2022-07-29,411.99,413.03,406.77,407.58,1,0,0,1
2022-07-28,406.07,406.8,398.15,401.89,1,1,0,1
2022-07-27,401.04,402.88,394.05,394.36,1,1,0,-1
2022-07-26,390.89,394.06,389.95,393.84,1,1,0,-1
2022-07-25,395.57,396.47,393.21,395.75,1,1,0,-1
2022-07-22,395.09,400.18,392.75,398.92,1,1,0,-1
2022-07-21,398.79,398.84,391.63,394.16,1,1,0,-1
2022-07-20,394.77,396.26,391.03,392.47,0,1,0,-1
2022-07-19,392.27,392.87,385.39,386.08,1,1,0,-1
2022-07-18,381.95,389.09,380.66,388.38,1,1,0,-1
2022-07-15,385.13,385.25,380.54,382.55,1,1,0,-1
2022-07-14,377.91,379.0498,371.04,373.61,1,1,0,-1
